Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),Column 7,Column 8,Column 9
3.65,Swedbank,3 månader,81135.0,"1,2",rörlig,,,
3.95,Länsförsäkringar,1 år,81135.0,"1,18 mkr",Augusti 2011,,,
2.85,Swedbank,10 år,81136.0,700000,okt 2010,,,
3.5,Swedbank,Rörlig,81138.0,,,,,
4.4,Länsförsäkringar,4 år,81138.0,"0,5 mkr",81229,,,
3.7,Swedbank,Rörlig,81141.0,,,,,
3.45,Swedbank,2 år,81152.0,"2,6 mkr",120326,,,
4.65,Swedbank,5 år,81152.0,"1,3 mkr",2007-11-01,,,
3.87,Swedbank,2 år,81152.0,"1,6",20110301,,,
3.95,Swedbank,2 år,81152.0,"0,5mkr",20111220,,,
3.95,Länsförsäkringar,3 månader,81154.0,,,,,
3.5,Swedbank,2 år,81154.0,450000,20101115,,,
3.9,Swedbank,2 år,81154.0,"1,2 mkr",2012-03-30,,,
4.5,Swedbank,Rörlig,81160.0,200000,maj 2010,,,
4.36,Swedbank,3 år,81161.0,495000,okt -2011,,,
4.2,Swedbank,Rörlig,81162.0,,,,,
3.7,Nordea,3 år,81162.0,,,,,
3.55,Swedbank,Rörlig,81162.0,867 tkr,120330,,,
4.45,Swedbank,3 månader,81170.0,"0,850 mkr",2011-03-03,,,
4.3,Swedbank,3 månader,81191.0,,,,,
3.15,Länsförsäkringar,3 år,81191.0,"1,1 mkr",2010-07-05,,,
4.1,Nordea,3 månader,81193.0,"1,7",September 2010,,,
4.5,Swedbank,3 månader,81241.0,146000,2015-01-28,,,
6.33,Swedbank,Rörlig,81290.0,379000 kr,101210,,,
4.1,Nordea,Rörlig,81293.0,,,,,
5.2,Swedbank,Rörlig,81330.0,,,,,
3.65,Swedbank,1 år,81333.0,150000,2012-01-12,,,
3.6,Swedbank,2 år,81333.0,200000,1112014,,,
3.7,Swedbank,3 år,81333.0,100000,2011,,,
3.8,Länsförsäkringar,3 år,81334.0,750000,20120328,,,
4.39,Swedbank,2 år,81336.0,520000,2011-01-30,,,
4.39,Swedbank,2 år,81336.0,520000,2011-01-30,,,
4.19,Swedbank,2 år,81340.0,717000,Mars 2011,,,
3.77,Handelsbanken,3 månader,81391.0,,,,,
3.48,Handelsbanken,2 år,81391.0,340000,Mars 2012,,,
3.48,Handelsbanken,3 år,81391.0,340000,Mars 2012,,,
4.2,Handelsbanken,10 år,81395.0,"0,39mkr",2010-10-01,,,
4.7,Swedbank,10 år,81431.0,298000,20120330,,,
5.98,Swedbank,10 år,81431.0,297000,20040715,,,
3.85,Swedbank,2 år,81431.0,254000,20120312,,,
5.35,Swedbank,10 år,81431.0,294000,20070925,,,
3.65,Swedbank,3 månader,81431.0,"2,3 mkr",20120201,,,
5.22,Handelsbanken,10 år,81432.0,"0,6",2007-10-31,,,
4.3,Handelsbanken,3 månader,81440.0,462000,20120101,,,
3.75,Swedbank,3 månader,81440.0,900000,111030,,,
3.62,Handelsbanken,2 år,81441.0,"0,3mkr",februari 2012,,,
4.41,Handelsbanken,3 månader,81491.0,,,,,
4.3,Nordea,3 månader,81493.0,,,,,
4.48,Handelsbanken,5 år,81537.0,430000 tkr,2010-12-01,,,
4.15,Swedbank,3 månader,81538.0,400000,2011-12-31,,,
4.28,Swedbank,2 år,81538.0,435000,2010-10-31,,,
3.6,Swedbank,Rörlig,81592.0,900000,2012-04-03,,,
4.9,Swedbank,10 år,81592.0,623000,2002-06-01,,,
3.35,Nordea,3 år,81593.0,480000,120324,,,
4.42,Länsförsäkringar,Rörlig,81691.0,,,,,
5.4,Nordea,5 år,81695.0,630000,20080115,,,
4.3,Nordea,Rörlig,81695.0,630000,20111210,,,
4.3,Handelsbanken,3 månader,81730.0,2,Januari 2012,,,
4.63,Handelsbanken,3 månader,81791.0,"1,48",2011-11-01,,,
4.0,SBAB,3 månader,81830.0,"0,67mkr",20120328,,,
3.37,Handelsbanken,2 år,81832.0,"1,650 mkr",Mars 2012,,,
3.95,Swedbank,2 år,81832.0,349000,2011-03-26,,,
4.35,Swedbank,3 år,81832.0,348000,2011-03-26,,,
4.75,Swedbank,5 år,81832.0,349000,2011-03-26,,,
4.2,Handelsbanken,2 år,81832.0,"1,9",110615,,,
4.15,Swedbank,3 år,81832.0,"1,1",20100404,,,
5.0,Swedbank,10 år,81832.0,600000,70626,,,
4.976,Swedbank,7 år,81832.0,600000,70626,,,
3.7,Swedbank,3 månader,81832.0,2150000,April 2012,,,
3.9,Swedbank,Rörlig,81832.0,900000,mars 2012,,,
4.13,Handelsbanken,3 månader,81833.0,,,,,
4.27,SBAB,Rörlig,81833.0,,,,,
4.14,SBAB,Rörlig,81833.0,"1,7",aldrig,,,
4.3,Swedbank,Rörlig,81841.0,700000,-,,,
5.29,Handelsbanken,5 år,81841.0,134 tkr,2007-12-01,,,
3.63,Handelsbanken,3 månader,81930.0,,,,,
3.5,Handelsbanken,2 år,81962.0,487000,2012-03-30,,,
4.43,Handelsbanken,3 månader,81966.0,,,,,
4.32,Nordea,3 år,82011.0,,,,,
3.83,Swedbank,7 år,82011.0,,,,,
4.3,Nordea,3 månader,82011.0,500000,dec 2011,,,
3.5,Handelsbanken,3 år,82020.0,,,,,
4.39,Swedbank,5 år,82020.0,350000,20110915,,,
4.43,Handelsbanken,3 månader,82020.0,78000,februari 2012,,,
4.15,Swedbank,3 månader,82022.0,"442,2",2012-03-26,,,
4.15,Swedbank,3 månader,82022.0,680000,20100731,,,
4.12,Länsförsäkringar,Rörlig,82022.0,203000,mars 2012,,,
4.33,Swedbank,Rörlig,82029.0,,,,,
3.72,Swedbank,2 år,82040.0,900000,110103,,,
5.5,Handelsbanken,5 år,82040.0,"1,2",Oktober 2010,,,
4.15,Swedbank,5 år,82040.0,"1,9",Mars 2006,,,
4.15,Swedbank,5 år,82040.0,"1,9",Mars 2006,,,
3.91,SEB,3 månader,82040.0,"250.0""0,00",Februari 2012,,,
4.1,Nordea,3 månader,82042.0,300000,2012-02-29,,,
4.1,Nordea,3 månader,82042.0,300000,29/2,,,
4.25,Swedbank,Rörlig,82060.0,,,,,
3.87,Handelsbanken,Rörlig,82060.0,2000000,20120403,,,
2.5,Swedbank,5 år,82060.0,402000,20110601,,,
4.2,Swedbank,3 månader,82060.0,355000,20120101,,,
4.83,Handelsbanken,10 år,82060.0,480000,20070501,,,
4.2,Swedbank,3 månader,82060.0,"1,3mkr",90101,,,
4.2,Swedbank,3 månader,82060.0,355,201202+1,,,
4.2,Swedbank,3 månader,82060.0,355,201202+1,,,
3.8,Handelsbanken,Rörlig,82064.0,,,,,
4.3,Nordea,2 år,82064.0,430000,2010-07-27,,,
3.97,Handelsbanken,3 månader,82064.0,280000,120301,,,
4.3,Swedbank,3 månader,82064.0,"363,5",2008-05-26,,,
3.55,Handelsbanken,2 år,82070.0,"388,192",December 2010,,,
5.4,Handelsbanken,5 år,82070.0,800000,2007,,,
4.1,Nordea,Rörlig,82075.0,,,,,
5.2,Skandiabanken,3 år,82077.0,200000,jan 2008,,,
4.25,Nordea,1 år,82100.0,,,,,
4.23,Swedbank,3 månader,82134.0,49800,110605,,,
4.2,Swedbank,3 månader,82135.0,1125000,2011,,,
2.45,Handelsbanken,1 år,82142.0,"0,1",110601,,,
4.32,Swedbank,7 år,82150.0,,,,,
4.15,Swedbank,Rörlig,82191.0,780000,130403,,,
3.95,Länsförsäkringar,Rörlig,82193.0,560000,20120402,,,
3.95,Länsförsäkringar,3 månader,82193.0,790000,april 2012,,,
3.95,Länsförsäkringar,3 månader,82193.0,790000,april 2012,,,
4.7,Länsförsäkringar,Rörlig,82198.0,,,,,
3.1,Länsförsäkringar,2 år,82230.0,200000,20101129,,,
5.22,Handelsbanken,3 år,82391.0,,,,,
3.9,Swedbank,Rörlig,82433.0,,,,,
2.9,Swedbank,3 månader,82433.0,2mkr,110101,,,
3.37,Handelsbanken,2 år,82433.0,800000,April 2012,,,
4.3,Swedbank,Rörlig,82434.0,"0,45 mkr",2010-04-01,,,
4.4,Swedbank,2 år,82440.0,,,,,
3.45,Swedbank,3 år,82440.0,"1,7 mkr",Oktober 2010,,,
4.13,Handelsbanken,Rörlig,82442.0,800000,2006-05-16,,,
4.1,Nordea,3 månader,82443.0,1mkr,20120327,,,
3.84,Länsförsäkringar,3 månader,82450.0,"0,35",2012-03-01,,,
3.6,Handelsbanken,2 år,82451.0,,,,,
3.065,Swedbank,3 månader,82452.0,575000,April 2012,,,
4.6,Swedbank,Rörlig,82452.0,,,,,
3.96,SEB,3 månader,82452.0,"0,855",mars 2012,,,
4.15,Swedbank,3 månader,82452.0,150000,aapril 2012,,,
2.9,Swedbank,2 år,82452.0,575000,september 2010,,,
2.9,Swedbank,2 år,82452.0,575000,201009,,,
3.67,Länsförsäkringar,3 år,82492.0,"3,5 mkr",2011-10-15,,,
3.55,SEB,3 månader,82493.0,,,,,
3.56,SEB,3 månader,82493.0,500000,20120320,,,
4.05,Nordea,2 år,82493.0,"0,954",20101013,,,
4.05,Nordea,2 år,82493.0,1mkr,20101013,,,
3.73,Handelsbanken,3 år,82493.0,545,120201,,,
4.15,Länsförsäkringar,3 månader,82493.0,"2,8 mkr",april 2012,,,
4.5,Swedbank,5 år,82532.0,335000 tusen kr,111101,,,
3.97,Swedbank,5 år,82532.0,1050000,oktober 2010,,,
4.17,Handelsbanken,Rörlig,82592.0,,,,,
3.61,SEB,3 månader,82595.0,228000,2011,,,
4.43,Handelsbanken,3 månader,82601.0,,,,,
3.89,Swedbank,2 år,82631.0,300000,111025,,,
4.15,Länsförsäkringar,3 månader,82637.0,750000,2012-03-01,,,
4.4,Swedbank,5 år,82650.0,450000,101026,,,
4.83,Länsförsäkringar,5 år,82660.0,,,,,
4.33,Swedbank,3 månader,82662.0,"0,4",100612,,,
2.88,Handelsbanken,3 år,82691.0,"0,975",september 2010,,,
4.19,Länsförsäkringar,2 år,82693.0,"1,8",20110630,,,
4.5,Handelsbanken,3 år,82730.0,,,,,
4.2,Nordea,3 månader,82731.0,395000,Dec 2011,,,
3.9,Swedbank,Rörlig,82732.0,,,,,
3.88,Länsförsäkringar,2 år,82733.0,190000,20110121,,,
3.3,Handelsbanken,3 år,82735.0,,,,,
3.85,Swedbank,3 månader,82791.0,,,,,
4.3,Nordea,3 månader,82794.0,,,,,
4.3,Nordea,3 månader,82794.0,,,,,
4.1,Nordea,3 månader,82830.0,365000,2003,,,
3.87,Swedbank,2 år,82832.0,"1,2",110110,,,
4.43,Handelsbanken,3 månader,83005.0,,,,,
4.15,Länsförsäkringar,3 månader,83005.0,240000,2012-04-01,,,
4.22,Länsförsäkringar,Rörlig,83005.0,"1,2",Rörligt,,,
3.86,Länsförsäkringar,3 månader,83010.0,"1,8 mkr",ej bundet,,,
3.67,Nordea,1 år,83013.0,"3,4",20130127,,,
4.13,Handelsbanken,3 månader,83013.0,,,,,
3.86,Handelsbanken,3 månader,83013.0,,,,,
4.05,Handelsbanken,3 månader,83013.0,"5,2 mkr",2012-02-01,,,
3.5,Handelsbanken,3 månader,83013.0,350,2012-03-20,,,
3.3,Danske Bank,Rörlig,83013.0,"1,7",0,,,
3.18,SEB,2 år,83013.0,680000,Sept 2011,,,
3.43,Handelsbanken,3 månader,83013.0,"1,5",april 2012,,,
3.77,Swedbank,Rörlig,83015.0,,,,,
4.15,Handelsbanken,2 år,83015.0,,,,,
4.15,Handelsbanken,2 år,83015.0,,,,,
4.15,Swedbank,3 månader,83021.0,216700,120328,,,
4.45,Swedbank,3 månader,83021.0,240000,2012-02-28,,,
3.55,Handelsbanken,1 år,83022.0,"1,1 mkr",2011-05-01,,,
4.3,Swedbank,Rörlig,83023.0,460000,20120301,,,
4.17,Länsförsäkringar,Rörlig,83024.0,,,,,
3.85,Swedbank,Rörlig,83040.0,"1,5 mkr",ej bundet,,,
4.15,Swedbank,5 år,83047.0,600000,20100501,,,
4.15,Länsförsäkringar,3 månader,83047.0,1 mkr,april 2012,,,
4.45,Swedbank,3 månader,83051.0,281250,Ej bundet,,,
4.15,Swedbank,3 månader,83051.0,350000,mar,,,
4.0,Länsförsäkringar,Rörlig,83130.0,,,,,
4.3,Swedbank,3 månader,83131.0,"0,41 mkr",0,,,
3.9,Länsförsäkringar,2 år,83131.0,"0,9 mkr",Nov 2011,,,
3.6,Swedbank,Rörlig,83132.0,,,,,
4.2,Swedbank,Rörlig,83133.0,,,,,
2.6,Swedbank,Rörlig,83134.0,,,,,
3.4,Nordea,3 månader,83136.0,"2,2 mkr",110622,,,
3.95,Länsförsäkringar,3 månader,83136.0,412500,120401,,,
4.05,Länsförsäkringar,2 år,83137.0,522000,2011-12-20,,,
4.66,Swedbank,3 år,83138.0,525000,20110801,,,
4.86,Länsförsäkringar,3 år,83138.0,450398,110601,,,
3.78,Nordea,Rörlig,83138.0,"0,387",110630,,,
3.99,Handelsbanken,3 år,83141.0,,,,,
3.55,Swedbank,3 månader,83142.0,4000000,januari 2012,,,
3.8,Swedbank,3 månader,83143.0,"2,4 mkr",20111217,,,
4.5,Swedbank,Rörlig,83145.0,,,,,
3.75,Länsförsäkringar,2 år,83146.0,"1,7 mkr",november 2011,,,
4.15,Swedbank,Rörlig,83147.0,300000,Aldrig,,,
3.62,Handelsbanken,3 månader,83147.0,,,,,
3.55,Swedbank,3 månader,83147.0,"1,8",120401,,,
3.6,Länsförsäkringar,3 år,83148.0,,,,,
4.1,Nordea,3 månader,83151.0,,,,,
4.35,Swedbank,3 månader,83152.0,"1,2 mkr",120127,,,
3.5,Swedbank,3 månader,83154.0,,,,,
3.96,Nordea,Rörlig,83155.0,,,,,
3.65,Länsförsäkringar,2 år,83161.0,,,,,
3.8,Swedbank,Rörlig,83161.0,,,,,
4.08,Handelsbanken,Rörlig,83161.0,,,,,
4.01,Swedbank,Rörlig,83161.0,,,,,
4.04,Länsförsäkringar,2 år,83161.0,,,,,
3.14,Handelsbanken,2 år,83162.0,,,,,
3.8,Nordea,3 månader,83162.0,,,,,
4.15,Länsförsäkringar,Rörlig,83162.0,"1,5",20120201,,,
3.98,Swedbank,Rörlig,83162.0,"1,2",20120201,,,
3.35,Nordea,3 år,83162.0,"1,7 mkr",Mars 2012,,,
3.45,Länsförsäkringar,2 år,83168.0,"1,6",120215,,,
3.8,Länsförsäkringar,5 år,83171.0,"1,15 mkr",2010-08-30,,,
4.1,Skandiabanken,Rörlig,83171.0,"0,4 mkr",2012-02-01,,,
3.35,Swedbank,2 månader,83171.0,360000,mars 2012,,,
3.8,Swedbank,3 månader,83171.0,330000,mars 2012,,,
4.15,Swedbank,Rörlig,83173.0,,,,,
3.8,Nordea,3 månader,83173.0,"2,65mkr",111231,,,
2.94,SEB,2 år,83173.0,300000,20111031,,,
5.13,Länsförsäkringar,3 år,83173.0,"01.0""2,00",20070720,,,
4.15,Swedbank,3 månader,83191.0,"1,8 mkr",120128,,,
4.2,Handelsbanken,5 år,83192.0,,,,,
3.41,Handelsbanken,1 år,83192.0,"4,4",2011-04-01,,,
3.77,Handelsbanken,3 månader,83241.0,650000,2012-03-01,,,
3.8,Nordea,3 månader,83243.0,,,,,
3.8,Swedbank,3 månader,83243.0,300000,2010-05-25,,,
2.77,Swedbank,3 år,83243.0,500000,2010-05-25,,,
3.43,Handelsbanken,2 år,83244.0,1700000,2011-06-01,,,
4.15,Swedbank,Rörlig,83245.0,,,,,
3.9,Nordea,Rörlig,83245.0,400 tkr,rörligt/3mån,,,
4.03,Handelsbanken,3 månader,83245.0,"1,8",120301,,,
3.8,Swedbank,3 månader,83247.0,"1,6",110601,,,
3.65,Länsförsäkringar,2 år,83247.0,,,,,
4.1,Skandiabanken,Rörlig,83247.0,,,,,
3.65,Länsförsäkringar,2 år,83247.0,"1,6",120810,,,
4.1,Swedbank,Rörlig,83253.0,"1,5 mkr",jan 2012,,,
3.5,Handelsbanken,3 månader,83254.0,"1,3",2012-03-20,,,
4.3,Swedbank,3 månader,83255.0,,,,,
3.85,Swedbank,3 månader,83255.0,"1,7 mkr",Juli 2010,,,
3.8,Länsförsäkringar,2 år,83293.0,2800000,2011-12-01,,,
3.68,Handelsbanken,3 månader,83293.0,4,mars 2012,,,
3.89,Nordea,Rörlig,83294.0,,,,,
4.3,Nordea,5 år,83294.0,"1,5",120101,,,
5.4,Länsförsäkringar,5 år,83296.0,,,,,
3.54,Handelsbanken,2 år,83296.0,,,,,
3.85,Swedbank,3 månader,83296.0,"3,995 mkr",120302,,,
3.89,Nordea,3 månader,83296.0,2300000,2011-04-01,,,
4.15,Handelsbanken,1 år,83296.0,2500000,2012-01-01,,,
3.77,Handelsbanken,3 månader,83344.0,1650000,20120301,,,
4.5,Nordea,Rörlig,83400.0,,,,,
4.45,Swedbank,3 månader,83431.0,,,,,
4.6,Swedbank,Rörlig,83497.0,,,,,
3.12,Swedbank,10 år,83531.0,"3,4 mkr",Januari 2012,,,
3.6,Nordea,Rörlig,83532.0,"1,6 mkr",obundet,,,
4.15,Länsförsäkringar,3 månader,83541.0,,,,,
3.99,Nordea,2 år,83541.0,"0,937 mkr",110615,,,
4.34,Nordea,3 år,83541.0,"0,937 mkr",110615,,,
3.82,Swedbank,5 år,83541.0,670000,2012-03-26,,,
3.92,Swedbank,3 månader,83591.0,800000,Februari 2012,,,
4.13,Länsförsäkringar,Rörlig,83592.0,200000,20110805,,,
4.0,Swedbank,5 år,83593.0,412000,2012,,,
4.15,Länsförsäkringar,3 månader,83594.0,"1,3 mkr",120302,,,
4.23,Swedbank,1 år,83691.0,800000,maj 2011,,,
4.95,Länsförsäkringar,5 år,83693.0,715000,20110811,,,
4.43,Handelsbanken,3 månader,83694.0,,,,,
3.35,Nordea,2 år,83695.0,"2,1 mkr",120328,,,
4.15,Länsförsäkringar,3 månader,83695.0,1600000,120201,,,
4.3,Handelsbanken,3 månader,84012.0,"0,35",2011,,,
5.4,Swedbank,Rörlig,84013.0,"0,448",maj 2008,,,
5.4,Swedbank,Rörlig,84013.0,"0,448",maj 2008,,,
5.4,Swedbank,3 månader,84013.0,"0,448",Maj 2008,,,
5.4,Swedbank,5 år,84013.0,"0,448",Maj 2008,,,
5.4,Swedbank,Rörlig,84013.0,"0,448",Maj 2008,,,
4.05,Swedbank,Rörlig,84031.0,,,,,
4.5,Swedbank,3 år,84031.0,314000,20111220,,,
4.01,SBAB,3 månader,84031.0,220000,120331,,,
4.43,Handelsbanken,3 månader,84040.0,"1,2",oktober 2005,,,
4.2,Handelsbanken,3 månader,84050.0,590000,81010,,,
4.15,Swedbank,Rörlig,84060.0,450000,mars 2012,,,
4.15,Swedbank,Rörlig,84060.0,450000,mars 2012,,,
3.98,Länsförsäkringar,3 månader,84064.0,,,,,
4.3,Swedbank,3 år,84064.0,360000,mars2010,,,
4.25,Handelsbanken,Rörlig,84070.0,,,,,
4.0,Swedbank,3 år,84073.0,114000,Mars 2011,,,
2.99,SEB,2 år,84092.0,2000000,2012-01-10,,,
4.09,Swedbank,2 år,84092.0,"1,55",11/092/5,,,
3.23,SEB,3 månader,84098.0,,,,,
4.26,Handelsbanken,3 år,84242.0,,,,,
4.2,Handelsbanken,2 år,84292.0,"1,1 mkr",sept 2010,,,
3.25,Nordea,2 år,84550.0,"1,6 mkr",April 2012,,,
3.5,Nordea,3 år,85230.0,"0,6 mkr",2012-01-20,,,
4.5,Nordea,Rörlig,85230.0,599000,2010-08-01,,,
3.95,Nordea,3 månader,85232.0,"0,6 mk",60220,,,
3.05,Danske Bank,Rörlig,85234.0,"2,2 mkr",Lånet är rörligt,,,
4.0,Handelsbanken,Rörlig,85235.0,,,,,
4.1,Nordea,Rörlig,85235.0,950000,november 2011,,,
4.22,Swedbank,3 månader,85237.0,,,,,
3.8,Swedbank,3 månader,85238.0,980000,120215,,,
3.8,Skandiabanken,2 år,85238.0,"2,2",10/06701,,,
3.13,SEB,3 år,85238.0,908000,2011-07-28,,,
3.45,SEB,3 månader,85239.0,"0,4 mkr",2011-12-01,,,
3.95,Länsförsäkringar,Rörlig,85356.0,550kkr,20120402,,,
3.8,Handelsbanken,3 månader,85357.0,2750000,20120301,,,
3.8,Handelsbanken,3 månader,85357.0,2750000,120301,,,
4.0,Länsförsäkringar,3 månader,85460.0,,,,,
4.28,Handelsbanken,1 år,85460.0,,,,,
3.55,SEB,1 år,85468.0,"0,1",120228,,,
4.9,Nordea,Rörlig,85590.0,795000,20120112,,,
3.8,Nordea,3 månader,85634.0,"1,4",40502,,,
3.4,Swedbank,2 år,85634.0,550,20120220,,,
4.35,Länsförsäkringar,Rörlig,85640.0,500000,20100701,,,
3.7,Swedbank,3 månader,85642.0,,,,,
4.2,Nordea,3 månader,85642.0,300 tkr,120102,,,
3.85,Nordea,3 månader,85642.0,300000,120404,,,
4.0,Nordea,3 månader,85642.0,598000,20090714,,,
3.31,SEB,3 månader,85643.0,"1,5",120327,,,
3.74,Handelsbanken,5 år,85645.0,100.000:-,2010-09-01,,,
4.28,Handelsbanken,1 år,85645.0,255.000:-,2011-06-30,,,
5.24,Handelsbanken,5 år,85645.0,260.000:-,2011-07-30,,,
4.43,Handelsbanken,3 månader,85645.0,196.000:-,2012-02-01,,,
3.81,Nordea,4 år,85651.0,87 tkr,90228,,,
4.23,Länsförsäkringar,3 månader,85651.0,806000,120202,,,
4.5,Danske Bank,Rörlig,85651.0,"1,0 mkr",2012,,,
4.0,Länsförsäkringar,3 år,85653.0,,,,,
3.75,Nordea,Rörlig,85653.0,,,,,
3.95,Länsförsäkringar,3 månader,85653.0,900000,20120401,,,
3.61,SEB,3 år,85653.0,"3,0mkr",2011-08-01,,,
3.19,Swedbank,2 år,85653.0,400000,120215,,,
3.59,Swedbank,Rörlig,85653.0,550000 tusen kronor,20120215,,,
3.23,Swedbank,3 år,85653.0,400000 tusen kronor,120215,,,
3.5,Handelsbanken,2 år,85653.0,850000,2012-02-01,,,
3.4,Handelsbanken,2 år,85653.0,"1,15",20120327,,,
4.039,Handelsbanken,Rörlig,85734.0,1208000,Februari 2012,,,
3.13,Handelsbanken,1 år,85740.0,200000,2011-06-20,,,
4.45,Swedbank,1 år,85740.0,700`,120107,,,
4.15,Länsförsäkringar,Rörlig,85742.0,"0,8",20120131,,,
4.2,Swedbank,3 månader,86013.0,200000,20090415,,,
4.45,Swedbank,Rörlig,86025.0,500000,120128,,,
2.69,Swedbank,2 år,86025.0,910000,100415,,,
1.0,Skandiabanken,Rörlig,86025.0,"3,25",Rörligt,,,
6.5,Handelsbanken,Rörlig,86030.0,,,,,
4.03,Handelsbanken,3 månader,86030.0,"1,1 mkr",2012-01-31,,,
4.15,Länsförsäkringar,Rörlig,86030.0,"1,6 mkr",120131,,,
4.3,Swedbank,3 månader,86030.0,"1,2 mkr",2012-02-28,,,
4.4,Handelsbanken,3 år,86030.0,475000,Juli 2011,,,
4.33,Swedbank,2 år,86030.0,550000,maj 2010,,,
4.15,Swedbank,3 månader,86030.0,"1,65",Mars 2012,,,
3.35,Handelsbanken,7 år,86030.0,295000,2009,,,
4.06,Handelsbanken,3 månader,86030.0,"6,3 mkr",2012,,,
3.6,Swedbank,4 år,86030.0,"1,3",Mars 2012,,,
4.4,Nordea,3 månader,86035.0,500000,111001,,,
4.15,Swedbank,3 månader,86040.0,100000,3månader,,,
3.9,Swedbank,5 år,86134.0,600000,juni 2011,,,
4.17,Handelsbanken,3 månader,86138.0,560000,2012-03-01,,,
3.43,SBAB,2 år,86233.0,1.25 mkr,110915,,,
4.09,Swedbank,2 år,86234.0,900000,20110501,,,
3.56,SEB,3 månader,86241.0,"1,1",mars 2012,,,
3.9,Länsförsäkringar,1 år,86296.0,700000,110901,,,
4.3,Handelsbanken,5 år,86335.0,"1,1 mkr",2009-04-01,,,
4.5,Swedbank,2 år,86431.0,890000,2011-03-25,,,
4.1,Nordea,3 månader,86432.0,1 mkr,120403,,,
2.99,SEB,2 år,86432.0,807000 kr,nov 2011,,,
4.19,Handelsbanken,3 månader,86433.0,"1,2 mkr",2012-02-01,,,
3.9,Nordea,3 månader,86433.0,795000,mars 2012,,,
3.9,Handelsbanken,2 år,86531.0,300 kkr,2011-10-01,,,
3.8,Nordea,3 månader,86531.0,"1,35",120202,,,
4.13,Swedbank,5 år,86531.0,"1,5",Oktober 2008,,,
4.17,Handelsbanken,3 månader,86532.0,"1,4 mkr",100401,,,
3.55,Swedbank,3 månader,86532.0,"1,8",April 2012,,,
3.46,SEB,Rörlig,86533.0,4,2012-03-28,,,
4.3,Nordea,3 månader,86533.0,"0,84 mkr",2012-01-15,,,
4.13,Handelsbanken,3 månader,86551.0,"1,35",20120301,,,
4.17,Handelsbanken,Rörlig,86591.0,180 KSEK,2012-03-01,,,
5.62,Handelsbanken,5 år,86591.0,150 KSEK,2008-06-01,,,
3.5,SEB,3 månader,86592.0,"2,2 mkr",20120101,,,
4.4,Swedbank,3 år,86592.0,600000,20100520,,,
4.35,Swedbank,3 år,86592.0,500000,jan  2010,,,
4.2,Swedbank,5 år,87030.0,400000,20120220,,,
3.9,Länsförsäkringar,1 år,87032.0,"0,265 mkr",2011-06-30,,,
3.99,Länsförsäkringar,3 månader,87130.0,"1,7",120330,,,
4.1,Handelsbanken,3 månader,87140.0,,,,,
4.1,Handelsbanken,3 månader,87140.0,,,,,
4.34,Nordea,2 år,87150.0,"0,7",110330,,,
3.8,Handelsbanken,3 år,87151.0,500000,120401,,,
4.09,Swedbank,3 år,87152.0,680000,2011-12-10,,,
4.17,Handelsbanken,3 månader,87153.0,"0,2 mkr",Mars 2012,,,
4.19,Swedbank,5 år,87153.0,"0,59",december 2011,,,
2.52,Swedbank,2 år,87160.0,807500,Juni 2010,,,
3.71,Swedbank,3 år,87160.0,205000,Januari 2012,,,
3.95,Länsförsäkringar,3 månader,87161.0,600000,120402,,,
4.1,Nordea,Rörlig,87162.0,"87.0""0,00",obundet,,,
3.52,SEB,2 år,87165.0,560000,120330,,,
3.6,Handelsbanken,3 månader,87165.0,"600.0""0,00",2012-02-27,,,
3.616,Swedbank,2 mån,87165.0,450000,120401,,,
3.52,SEB,2 år,87165.0,675000,April 2012,,,
4.15,Swedbank,3 månader,87191.0,"0,4 mkr",2011-06-28,,,
3.25,Nordea,3 år,87192.0,"1,2 mkr",februari 2012,,,
3.5,Länsförsäkringar,2 år,87193.0,495000,2011-09-01,,,
3.8,Handelsbanken,3 år,87232.0,350000,2012-03-30,,,
4.15,Swedbank,3 månader,87232.0,138000,mars 2012,,,
4.43,Handelsbanken,Rörlig,87233.0,880000,2009,,,
4.65,Swedbank,8,87264.0,440000,20050620,,,
4.3,Swedbank,3 månader,87298.0,140000,120228,,,
5.5,Handelsbanken,Rörlig,88037.0,125000,20111030,,,
4.15,Handelsbanken,Rörlig,88037.0,200000,120229,,,
3.52,Nordea,5 år,88132.0,400000,2010-08-01,,,
4.8,Nordea,Rörlig,88133.0,,,,,
4.2,Nordea,Rörlig,88133.0,330000,121001,,,
3.85,Swedbank,2 år,88133.0,412000,40316,,,
4.1,Swedbank,4 år,88135.0,,,,,
4.1,Nordea,3 månader,88135.0,,,,,
4.43,Handelsbanken,3 månader,88135.0,610000,20111201,,,
4.1,Nordea,Rörlig,88135.0,1,120320,,,
4.2,Nordea,5 år,88140.0,50000,20090510,,,
2.63,Handelsbanken,2 år,88141.0,"0,6 Mkr. ",Juli 2010,,,
4.05,Swedbank,3 månader,88192.0,",",20120301,,,
4.46,Nordea,3 år,88240.0,"0,45",111001,,,
4.45,Swedbank,5 år,88291.0,,,,,
3.55,Swedbank,Rörlig,89131.0,890000,201227,,,
3.85,Nordea,3 månader,89132.0,,,,,
3.85,Nordea,3 månader,89132.0,,,,,
3.74,Handelsbanken,3 månader,89134.0,"1,7",20120401,,,
